Site_code,x,y,Heat_L,PC1,PC2,PC3,Time,Site,Burnt,Habitat,Year,Max_age,Dung,DungL,Altitude,Slope,Aspect,Shrub_ht_cm,Shrub_cover,Graminoids_%,Herb,Other_mosses,bushy lichens,Sphagnum_sp%,Open_water,Pteridium aquilinum,Bare_peat
CH250,215288,330452,0.7922,-0.141547574,0.33594541,0.176906232,2013,CH,N,Bog,2013,17,None,None,321,1.910344,77.005386,45,72,12,3,28,0,4,0,0,0
CH250,215288,330452,0.7922,-0.141547574,0.33594541,0.176906232,2014,CH,N,Bog,2014,19,None,None,321,1.910344,77.005386,43,64,11,2,33,0,6,0,0,0
CH251,215286,330745,0.7978,-0.141547574,0.33594541,0.176906232,2013,CH,N,Bog,2013,9,None,None,319,1.742046,99.462318,26,27,53,3,4,0,63,0,0,0
CH251,215286,330745,0.7978,-0.141547574,0.33594541,0.176906232,2014,CH,N,Bog,2014,11,None,None,319,1.742046,99.462318,26,39,46,1,3,0.5,40,0,0,0
CH252,215293.3333,331048.3333,0.7981,-0.141547574,0.33594541,0.176906232,2012,CH,N,Bog,2012,4,Rare,Low,332,2.1807,113.199,14,11,20,0.5,0.5,0,68,0,0,0
CH252,215293.3333,331048.3333,0.7981,-0.141547574,0.33594541,0.176906232,2013,CH,N,Bog,2013,5,None,None,332,2.1807,113.199,14,25,27,1,0.5,0,48,0,0,0
CH252,215293.3333,331048.3333,0.7981,-0.141547574,0.33594541,0.176906232,2014,CH,N,Bog,2014,6,Rare,Low,332,2.1807,113.199,18,22,27,1,1,0,70,0,0,1
CH253,215291,331352,0.8039,-0.06808481,0.161687488,-0.243467277,2012,CH,N,Bog,2012,3,Frequent,High,348,6.02102,148.57,10,7,71,0.5,0.5,0,1,0,0,20
CH253,215291,331352,0.8039,-0.06808481,0.161687488,-0.243467277,2013,CH,N,Bog,2013,4,None,None,348,6.02102,148.57,24,8,64,3,0.5,0,16,0,0,9
CH253,215291,331352,0.8039,-0.06808481,0.161687488,-0.243467277,2014,CH,N,Bog,2014,5,Occaisional,Low,348,6.02102,148.57,17,14,79,1.5,5,0,9,0,0,1
CH256,215282,332242.5,0.7855,-0.050274788,-0.087909046,-0.420036732,2012,CH,N,Bog,2012,4,None,None,396,2.36968,25.0169,15,5,62,27,0.5,0,4,0,0,1.5
CH256,215282,332242.5,0.7855,-0.050274788,-0.087909046,-0.420036732,2013,CH,N,Bog,2013,5,None,None,396,2.36968,25.0169,16,26,38,23,1,0,11,0,0,2
CH256,215282,332242.5,0.7855,-0.050274788,-0.087909046,-0.420036732,2014,CH,N,Bog,2014,6,Rare,Low,396,2.36968,25.0169,14,15,43,26,4,0,12,1,0,1
CH257,215287,332542,0.7168,-0.327395244,0.348135775,0.271446103,2012,CH,Y,Bog,2012,3,None,None,368,8.92501,13.815,12,7,54,4,0.5,0,2,1,0,33
CH257,215287,332542,0.7168,-0.327395244,0.348135775,0.271446103,2013,CH,Y,Bog,2013,4,None,None,368,8.92501,13.815,14,22,38,2,1,0,3,0,0,34
CH257,215287,332542,0.7168,-0.327395244,0.348135775,0.271446103,2014,CH,Y,Bog,2014,5,None,None,368,8.92501,13.815,20,13,59,8,1,0,1,0,0,20
CH265,215603,330748,0.7742,-0.982532925,0.380075118,0.732174112,2012,CH,N,Bog,2012,16,None,None,314,3.29399,34.3803,60,67,11,1,22,0,0.5,0,0,0
CH265,215603,330748,0.7742,-0.982532925,0.380075118,0.732174112,2013,CH,N,Bog,2013,17,None,None,314,3.29399,34.3803,82,55,2,0.5,32,0,6,0,0,5
CH265,215603,330748,0.7742,-0.982532925,0.380075118,0.732174112,2014,CH,N,Bog,2014,18,None,None,314,3.29399,34.3803,58,65,3,2,18,0,6,0,0,10
CH270,215590,332249,0.7821,-0.218347261,0.612818603,0.281440194,2012,CH,N,Bog,2012,6,Occaisional,Low,392,2.91899,11.3099,14,13,42,0,2,0,0,0.5,0,43
CH270,215590,332249,0.7821,-0.218347261,0.612818603,0.281440194,2013,CH,N,Bog,2013,7,Occaisional,Low,392,2.91899,11.3099,14,29,35,0,1,0,2,0,0,33
CH270,215590,332249,0.7821,-0.218347261,0.612818603,0.281440194,2014,CH,N,Bog,2014,8,None,None,392,2.91899,11.3099,20,32,41,0,3,0,0,1,0,24
CH276,215888,330751,0.8039,0.16396047,0.587655695,0.086020186,2012,CH,N,Bog,2012,1,None,None,313,6.02102,301.43,25,19,48,0.5,7,0,24,0,0,2
CH276,215888,330751,0.8039,0.16396047,0.587655695,0.086020186,2013,CH,Y,Bog,2013,2,Frequent,High,313,6.02102,301.43,4,3,65,0,0.5,0,0.5,0,0,32
CH276,215888,330751,0.8039,0.16396047,0.587655695,0.086020186,2014,CH,Y,Bog,2014,3,Frequent,High,313,6.02102,301.43,8,18,35,1,0,0,8,0,0,35
CH282,215900,332544,0.6897,0.19291947,0.498154646,0.163282055,2012,CH,N,WH,2012,4,Rare,Low,351,10.7087,24.1932,18,25,13,1,60,0,0,0,0,2
CH282,215900,332544,0.6897,0.19291947,0.498154646,0.163282055,2013,CH,N,WH,2013,5,Rare,Low,351,10.7087,24.1932,19,27,29,0.5,43,0,1,0,0,2
CH282,215900,332544,0.6897,0.19291947,0.498154646,0.163282055,2014,CH,N,WH,2014,6,None,None,351,10.7087,24.1932,29,61,29,2,37,0,6,0,0,1
CH287,216187,331343.5,0.7449,0.115076372,0.157239664,0.281931927,2012,CH,Y,Bog,2012,1,Abundant,High,285,5.93646,62.8189,4,11,6,0,0.5,0,0.5,0,0,83
CH287,216187,331343.5,0.7449,0.115076372,0.157239664,0.281931927,2013,CH,Y,Bog,2013,2,Rare,Low,285,5.93646,62.8189,10,16,1,0,9,0,0.5,0,0,74
CH287,216187,331343.5,0.7449,0.115076372,0.157239664,0.281931927,2014,CH,Y,Bog,2014,3,Occaisional,Low,285,5.93646,62.8189,19,39,1,0,51,0,0.5,0,0,9
CH291,216187,332546,0.7479,0.105953358,0.508717687,0.225567162,2012,CH,Y,Bog,2012,1,Abundant,High,330,5.51205,53.427,5,26,15,0,0.5,0,1,0,0,58
CH291,216187,332546,0.7479,0.105953358,0.508717687,0.225567162,2013,CH,Y,Bog,2013,2,Frequent,High,330,5.51205,53.427,12,32,36,0,2,0,1,0,0,29
CH291,216187,332546,0.7479,0.105953358,0.508717687,0.225567162,2014,CH,Y,Bog,2014,3,None,None,330,5.51205,53.427,16,41,38,0,5,0,16,0,0,15
CH291A,216252,332273,0.7824,-0.74021897,-0.898540552,0.814003042,2012,CH,N,DH,2012,9,Frequent,High,340,7.66235,131.987,20,95,4,0,1,0,0,0,0,0
CH291A,216252,332273,0.7824,-0.74021897,-0.898540552,0.814003042,2013,CH,N,DH,2013,10,None,None,340,7.66235,131.987,26,92,8,0,25,0,0,0,0,0
CH291A,216252,332273,0.7824,-0.74021897,-0.898540552,0.814003042,2014,CH,N,DH,2014,11,None,None,340,7.66235,131.987,28,94,6,0,15,0,0,0,0,0
CH292,216184,332846.5,0.7841,-0.175343682,-1.447779948,1.311936273,2012,CH,Y,Bog,2012,1,Rare,Low,306,3.3187,352.569,5,12.5,11,0,0.5,0,59,0.5,0,16.5
CH292,216184,332846.5,0.7841,-0.175343682,-1.447779948,1.311936273,2013,CH,Y,Bog,2013,2,None,None,306,3.3187,352.569,9,50,13,0,12,0,14,0,0,11
CH292,216184,332846.5,0.7841,-0.175343682,-1.447779948,1.311936273,2014,CH,Y,Bog,2014,3,Frequent,High,306,3.3187,352.569,15,54,11,0,12,0,13,0,0,10
CH295,216488,331346.6667,0.7101,0.182150555,-0.281060446,-0.229444511,2012,CH,Y,WH,2012,1,Occaisional,Low,239,8.96054,64.6538,4,16,55,1,0.5,0,17,0,0,10.5
CH295,216488,331346.6667,0.7101,0.182150555,-0.281060446,-0.229444511,2013,CH,Y,WH,2013,2,Occaisional,Low,239,8.96054,64.6538,12,5,37,1,10,0,19,0,0,28
CH295,216488,331346.6667,0.7101,0.182150555,-0.281060446,-0.229444511,2014,CH,Y,WH,2014,3,Occaisional,Low,239,8.96054,64.6538,21,14,35,4,22,0,25,0,0,0
CH296,216490,331644,0.7842,-0.302556667,-0.110437217,0.271261803,2012,CH,Y,Bog,2012,1,Frequent,High,262,4.85846,118.072,7,4,1,0,6,0,1,0,0,88
CH296,216490,331644,0.7842,-0.302556667,-0.110437217,0.271261803,2013,CH,Y,Bog,2013,2,Occaisional,Low,262,4.85846,118.072,5,22,9,0,13,0,1,0,0,55
CH296,216490,331644,0.7842,-0.302556667,-0.110437217,0.271261803,2014,CH,Y,Bog,2014,3,Occaisional,Low,262,4.85846,118.072,13,41,11,0,24,0,5,0,0,22
CH296A,216512,331573,0.795,-0.436261224,0.180235337,0.655418358,2012,CH,Y,DH,2012,1,Abundant,High,257,5.65715,137.045,5,45,2,7,0.5,0,0,0,20,26
CH296A,216512,331573,0.795,-0.436261224,0.180235337,0.655418358,2013,CH,Y,DH,2013,2,Rare,Low,257,5.65715,137.045,8,72,1,1,7,0,0,0,0,2
CH296A,216512,331573,0.795,-0.436261224,0.180235337,0.655418358,2014,CH,Y,DH,2014,3,Occaisional,Low,257,5.65715,137.045,29,72,16,9,6,0,0,0,34,2
CH298,216505,332224,0.8086,0.570703369,0.748932322,0.201938037,2012,CH,Y,Bog,2012,1,None,None,296,3.1416,149.931,7,13,48,0,0.5,0,20,15,0,4
CH298,216505,332224,0.8086,0.570703369,0.748932322,0.201938037,2013,CH,Y,Bog,2013,2,None,None,296,3.1416,149.931,15,24,60,0,0.5,0,10,0,0,5
CH298,216505,332224,0.8086,0.570703369,0.748932322,0.201938037,2014,CH,Y,Bog,2014,3,None,None,296,3.1416,149.931,17,34,65,0.5,2,0,8,0,0,3
CH298A,216508,332091,0.8024,-0.442480301,-0.383267652,0.860928908,2012,CH,Y,DH,2012,1,Abundant,High,291,6.84571,148.627,3,40,0.5,0,40,0,0,0,10,9.5
CH298A,216508,332091,0.8024,-0.442480301,-0.383267652,0.860928908,2013,CH,Y,DH,2013,2,Abundant,High,291,6.84571,148.627,8,78,2,0,7,0,0,0,3,13
CH298A,216508,332091,0.8024,-0.442480301,-0.383267652,0.860928908,2014,CH,Y,DH,2014,3,Frequent,High,291,6.84571,148.627,17,87,4,0,20,0,0,0,0,2
CH301,216788,331647,0.7619,NA,NA,NA,2012,CH,N,DH,2012,12,None,None,198,5.89543,96.953,0,0,35,15,0.5,0,0,0,40,10
CH301,216788,331647,0.7619,NA,NA,NA,2013,CH,N,DH,2013,13,None,None,198,5.89543,96.953,0,0,59,13,2,0,0,0,36,0
CH301,216788,331647,0.7619,NA,NA,NA,2014,CH,N,DH,2014,14,None,None,198,5.89543,96.953,0,0,35,15,8,0,0,0,86,0
EM103,332714,328344,0.8255,0.754296156,-0.269057058,-0.49277092,2012,EM,N,Bog,2012,7,None,None,377,11.907,280.244,20,27,50,8,15,0,0,0,0,0
EM103,332714,328344,0.8255,0.754296156,-0.269057058,-0.49277092,2013,EM,N,Bog,2013,8,Rare,Low,377,11.907,280.244,18,21,57,6,12,0,0,0,0,3
EM103,332714,328344,0.8255,0.754296156,-0.269057058,-0.49277092,2014,EM,N,Bog,2014,9,None,None,377,11.907,280.244,27,29,42,9,21,0,0,0,0,0
EM123,333167,324785,0.7837,1.327631601,-0.396113892,0.254049714,2012,EM,Y,WH,2012,1,None,None,295,8.44627,135,25,55,10,1,0,0,0,0,0,16
EM123,333167,324785,0.7837,1.327631601,-0.396113892,0.254049714,2013,EM,Y,WH,2013,2,Frequent,High,295,8.44627,135,17,41,6,1,1,0,0,0,0,51
EM123,333167,324785,0.7837,1.327631601,-0.396113892,0.254049714,2014,EM,Y,WH,2014,3,Frequent,High,295,8.44627,135,20,30,31,1,4,0,0,0,0,6
EM134,333163,328340,0.868,-0.005682954,-0.840096582,-0.159405539,2012,EM,N,DH,2012,7,Frequent,High,392,14.3988,202.319,37,21,78,0.5,0,0,0.5,0,0,0
EM134,333163,328340,0.868,-0.005682954,-0.840096582,-0.159405539,2013,EM,N,DH,2013,8,None,None,392,14.3988,202.319,34,30,69,1,0.5,0,0,0,0,0
EM134,333163,328340,0.868,-0.005682954,-0.840096582,-0.159405539,2014,EM,N,DH,2014,9,Occaisional,Low,392,14.3988,202.319,36,18,80,4,1,0,0,0,0,0
EM139,333607,323429,0.6323,-0.350243935,-0.792707158,-0.477605093,2012,EM,N,DH,2012,11,Rare,Low,286,15.2142,60.8431,28,40,48,2,10,0,0,0,0,0
EM139,333607,323429,0.6323,-0.350243935,-0.792707158,-0.477605093,2013,EM,N,DH,2013,12,Frequent,High,286,15.2142,60.8431,35,44,52,2,2,0,0,0,0,0
EM139,333607,323429,0.6323,-0.350243935,-0.792707158,-0.477605093,2014,EM,N,DH,2014,13,Frequent,High,286,15.2142,60.8431,45,58,33,3,4,0,0,0,0,0
EM142,333606,324764,0.7355,0.781844462,-0.066597373,1.126913555,2012,EM,Y,WH,2012,1,None,None,250,9.57404,101.976,4,35,45,5,0,0,0,0,0,15
EM142,333606,324764,0.7355,0.781844462,-0.066597373,1.126913555,2013,EM,Y,WH,2013,2,Occaisional,Low,250,9.57404,101.976,7,15,69,1,2,0,0,0,0,3
EM142,333606,324764,0.7355,0.781844462,-0.066597373,1.126913555,2014,EM,Y,WH,2014,3,Abundant,High,250,9.57404,101.976,9,5,77,2,16,0,0,0,0,2
EM143,333608,325210,0.7753,1.677614075,0.299695608,0.65677452,2012,EM,Y,WH,2012,1,None,None,282,6.18982,115.974,4,10,40,0,0,0,0,0,0,70
EM143,333608,325210,0.7753,1.677614075,0.299695608,0.65677452,2013,EM,Y,WH,2013,2,Frequent,High,282,6.18982,115.974,6,4,13,0.5,1,0,0,0,0,49
EM143,333608,325210,0.7753,1.677614075,0.299695608,0.65677452,2014,EM,Y,WH,2014,3,Occaisional,Low,282,6.18982,115.974,5,6,5,0,2,0,0,0,0,39
EM144,333614,325653,0.7259,-0.090411089,-0.22861585,0.180576256,2012,EM,Y,WH,2012,1,None,None,309,13.7594,117.35,5,12,40,4,0,0,8,0,0,36
EM144,333614,325653,0.7259,-0.090411089,-0.22861585,0.180576256,2013,EM,Y,WH,2013,2,Frequent,High,309,13.7594,117.35,6,30,60,1,1,0,0,0,0,8
EM144,333614,325653,0.7259,-0.090411089,-0.22861585,0.180576256,2014,EM,Y,WH,2014,3,Abundant,High,309,13.7594,117.35,9,19,69,0.5,4,0,0,0,0,5
EM157,334055,324761,0.8651,0.415061611,-0.258235771,-0.660170748,2012,EM,N,WH,2012,11,None,None,202,11.0059,226.042,27,21,87,1.5,0,0,0,0,0,0.5
EM157,334055,324761,0.8651,0.415061611,-0.258235771,-0.660170748,2013,EM,N,WH,2013,12,None,None,202,11.0059,226.042,33,43,47,9,0,0,0,0,0,1
EM157,334055,324761,0.8651,0.415061611,-0.258235771,-0.660170748,2014,EM,N,WH,2014,13,None,None,202,11.0059,226.042,30,30,57,8,0,0,1,0,0,4
EM160,334061,326107,0.5997,0.516933361,-0.670475706,0.962517078,2012,EM,Y,DH,2012,1,Frequent,High,309,27.3886,112.109,4,10,48,2,0,0,0,0,0,40
EM160,334061,326107,0.5997,0.516933361,-0.670475706,0.962517078,2013,EM,Y,DH,2013,2,Occaisional,Low,309,27.3886,112.109,11,23,64,0.5,2,0,0,0,0,3
EM160,334061,326107,0.5997,0.516933361,-0.670475706,0.962517078,2014,EM,Y,DH,2014,3,Abundant,High,309,27.3886,112.109,10,31,57,2,7,0,0,0,0,1
EM162,334058,326551,0.5271,-0.072126554,0.450498026,0.519526402,2012,EM,Y,DH,2012,1,Rare,Low,365,28.2893,92.9289,6,20,9,1,1,0,0,0,0,54
EM162,334058,326551,0.5271,-0.072126554,0.450498026,0.519526402,2013,EM,Y,DH,2013,2,Frequent,High,365,28.2893,92.9289,12,36,11,0.5,6,0,0,0,0,7
EM162,334058,326551,0.5271,-0.072126554,0.450498026,0.519526402,2014,EM,Y,DH,2014,3,Frequent,High,365,28.2893,92.9289,17,47,8,0,16,0,0,0,0,4
EM175,334509,324759,0.8561,0.456347804,-1.155972391,0.298689392,2012,EM,Y,WH,2012,1,None,None,222,9.64805,208.072,12,1,66,1,0,0,0,0,0,32
EM175,334509,324759,0.8561,0.456347804,-1.155972391,0.298689392,2013,EM,Y,WH,2013,2,None,None,222,9.64805,208.072,25,0.5,88,1,0.5,0,0,0,0,11
EM175,334509,324759,0.8561,0.456347804,-1.155972391,0.298689392,2014,EM,Y,WH,2014,3,None,None,222,9.64805,208.072,28,3,68,1,3,0,0,0,0,25
EM176,334502,325212,0.8885,0.196721453,0.408355526,0.843892213,2012,EM,Y,DH,2012,1,Frequent,High,337,19.6324,238.761,5,7,8,0.5,0,0,0,35,0,47
EM176,334502,325212,0.8885,0.196721453,0.408355526,0.843892213,2013,EM,Y,DH,2013,2,None,None,337,19.6324,238.761,6,40,19,1,31,0,0,0,0,10
EM176,334502,325212,0.8885,0.196721453,0.408355526,0.843892213,2014,EM,Y,DH,2014,3,Frequent,High,337,19.6324,238.761,14,48,27,3,25,0,0,0,0,5
EM177,334504,325656,0.7965,-0.413215117,-0.329974741,0.225482856,2012,EM,Y,DH,2012,1,Frequent,High,380,27.1614,285.255,5,2,9,0,12,0,0,0,0,77
EM177,334504,325656,0.7965,-0.413215117,-0.329974741,0.225482856,2013,EM,Y,DH,2013,2,None,None,380,27.1614,285.255,5,27,32,0,16,0,0,0,0,25
EM177,334504,325656,0.7965,-0.413215117,-0.329974741,0.225482856,2014,EM,Y,DH,2014,3,Frequent,High,380,27.1614,285.255,10,28,27,0.5,10,0,0,0,0,0
EM178,334497,326101,0.8345,0.081450879,-1.453907979,-0.957312432,2012,EM,Y,DH,2012,1,None,None,338,26.9417,273.102,4,1.5,76,1,0.5,0,0,0,0,21
EM178,334497,326101,0.8345,0.081450879,-1.453907979,-0.957312432,2013,EM,Y,DH,2013,2,None,None,338,26.9417,273.102,7,23,67,3,3,0,0,0,0,3
EM178,334497,326101,0.8345,0.081450879,-1.453907979,-0.957312432,2014,EM,Y,DH,2014,3,None,None,338,26.9417,273.102,12,13,72,0.5,2,0,0,0,0,5
EM190,334949,324313,0.8572,0.13484132,-0.760242791,-0.574496147,2012,EM,N,WH,2012,13,None,None,214,9.40944,236.07,30,32,57.5,1,0,0.5,5,0,0,4
EM190,334949,324313,0.8572,0.13484132,-0.760242791,-0.574496147,2013,EM,N,WH,2013,14,None,None,214,9.40944,236.07,32,20,75,0,0.5,0,2,0,0,2
EM190,334949,324313,0.8572,0.13484132,-0.760242791,-0.574496147,2014,EM,N,WH,2014,15,None,None,214,9.40944,236.07,29,21,72,0,0.5,0,4,0,0,22
EM193,334949,325210,0.9031,-0.138819789,-0.369231722,1.607492545,2012,EM,Y,DH,2012,1,Frequent,High,480,25.7823,233.842,2,5.5,17,0.5,10,0,0,0,0,64
EM193,334949,325210,0.9031,-0.138819789,-0.369231722,1.607492545,2013,EM,Y,DH,2013,2,Abundant,High,480,25.7823,233.842,5,28,3,0.5,39,0,0,0,0,29
EM193,334949,325210,0.9031,-0.138819789,-0.369231722,1.607492545,2014,EM,Y,DH,2014,3,Frequent,High,480,25.7823,233.842,8,43,19,1.5,34,0,0,0,0,2
EM194,334948,325656,0.8056,1.161281752,0.040616351,1.15235263,2012,EM,Y,DH,2012,1,Frequent,High,466,14.723,291.194,3,2.5,23,0.5,0.5,0,0,0,0,74
EM194,334948,325656,0.8056,1.161281752,0.040616351,1.15235263,2013,EM,Y,DH,2013,2,Occaisional,Low,466,14.723,291.194,7,5,36,0.5,0,0,0,0,0,59
EM194,334948,325656,0.8056,1.161281752,0.040616351,1.15235263,2014,EM,Y,DH,2014,3,Abundant,High,466,14.723,291.194,10,8,41,2,0,0,0,0,0,51
EM208,335399,323867,0.8472,1.853599348,-0.534476089,0.240570417,2012,EM,Y,WH,2012,9,Rare,Low,231,6.92754,233.366,20,18,40,2,5,0,0,0,0,40
EM208,335399,323867,0.8472,1.853599348,-0.534476089,0.240570417,2013,EM,Y,WH,2013,10,Occaisional,Low,231,6.92754,233.366,18,18,73,1,0.5,0,0,0,0,8
EM208,335399,323867,0.8472,1.853599348,-0.534476089,0.240570417,2014,EM,Y,WH,2014,11,Rare,Low,231,6.92754,233.366,22,8,83,1,2,0,0,0,0,6
EM209,335396,324314,0.885,-0.070553879,-0.933568305,-0.588349713,2012,EM,N,WH,2012,14,None,None,310,18.6757,240.781,32,25,75,0,0,0,0,0,0,0
