Date2,Burnt,Quadrat,X,Y,Site,Dung,Heat load,Habitat,pH,P,N,Slope,Max_age,Altitude,Aspect,Agrostis.cappilaris,Agrostis_canina,Calluna_vulgaris,Carex viridula,Carex.echinata,Carex_binervis,Carex_panacea,Carex_pilulifera,Deschampia_flexuosa,Drosera_rotundifolia,Empetrum_nigrum,Epilobium_palustre,Erica_cinerea,Erica_tetralix,Eriophorum_angustifolium,Eriophorum_vaginatum,Galium.saxatile,Juncus.acutiflorus,Juncus.bulbosus,Juncus.effusus,Juncus_bufonius,Juncus_squarrosa,Molinia_caerula,Nardus_stricta,Potentilla_erecta,Sagina_procumbens
25/07/2012,N,CH252,215293.3333,331048.3333,CH,Rare,0.798120912,Bog,4.12,4.6,1.78,2.1807,4,332,113.199,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25/07/2012,N,CH253,215291,331352,CH,Frequent,0.803867237,Bog,4.08,3.8,2,6.02102,3,348,148.57,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
30/08/2012,N,CH256,215282,332242.5,CH,None,0.78549038,Bog,4.21,3.1,2.28,2.36968,4,396,25.0169,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/08/2012,Y,CH257,215287,332542,CH,None,0.716799965,Bog,4.12,3,2.22,8.92501,3,368,13.815,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
25/07/2012,N,CH265,215603,330748,CH,None,0.774221287,Bog,3.94,11.9,2.43,3.29399,16,314,34.3803,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,73,20,0,0,0,2,0,0
30/08/2012,N,CH270,215590,332249,CH,Occaisional,0.782064723,Bog,4.04,4,1.74,2.91899,6,392,11.3099,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
25/07/2012,N,CH276,215888,330751,CH,None,0.803936768,Bog,4.18,3.2,1.74,6.02102,1,313,301.43,0,0,5,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
30/08/2012,N,CH282,215900,332544,CH,Rare,0.689665637,WH,4.2,5.4,1.62,10.7087,4,351,24.1932,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
26/07/2012,Y,CH287,216187,331343.5,CH,Abundant,0.744850893,Bog,4.24,4.1,1.54,5.93646,1,285,62.8189,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31/08/2012,Y,CH291,216187,332546,CH,Abundant,0.747905511,Bog,4.11,2.5,1.47,5.51205,1,330,53.427,0,0,31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
31/08/2012,N,CH291A,216252,332273,CH,Frequent,0.782398839,DH,4.22,9.3,1.89,7.66235,9,340,131.987,0,0,10,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
30/08/2012,Y,CH292,216184,332846.5,CH,Rare,0.784129981,Bog,4.9,7.9,1.69,3.3187,1,306,352.569,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/07/2012,Y,CH295,216488,331346.6667,CH,Occaisional,0.710057678,WH,4.35,6.1,1.88,8.96054,1,239,64.6538,0,0,61,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,4,1,0,0,0,0,0,0
26/07/2012,Y,CH296,216490,331644,CH,Frequent,0.784215686,Bog,4.06,5.9,1.52,4.85846,1,262,118.072,0,0,21,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0
26/07/2012,Y,CH296A,216512,331573,CH,Abundant,0.794986699,DH,3.94,5.1,1.79,5.65715,1,257,137.045,0,0,22,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0
31/08/2012,Y,CH298,216505,332224,CH,None,0.808579699,Bog,4.28,2.3,1.28,3.1416,1,296,149.931,0,0,12,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
31/08/2012,Y,CH298A,216508,332091,CH,Abundant,0.802434474,DH,4.11,6,1.56,6.84571,1,291,148.627,0,0,22,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0
26/07/2012,N,CH301,216788,331647,CH,None,0.761923497,DH,5.76,5.4,0.67,5.89543,12,198,96.953,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,5,0,0,6,0,3
07/08/2012,N,EM103,332714,328344,EM,None,0.825521742,Bog,4.25,1.8,1.28,11.907,7,377,280.244,0,0,18,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0
23/06/2012,Y,EM122,333163,324312,EM,Rare,0.656650537,WH,4.47,2.2,1.54,14.1289,1,302,74.4454,0,3,32,2,0,12,0,0,0,0,0,0,51,29,0,0,0,0,0,0,0,0,0,0,0,0
23/06/2012,Y,EM123,333167,324785,EM,None,0.783692119,WH,4.55,0.8,0.46,8.44627,1,295,135,0,0,13,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,1,0
23/06/2012,Y,EM124,333175,325206,EM,None,0.747979328,DH,4.52,1.2,0.46,6.71504,1,328,86.3478,0,0,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
06/10/2012,N,EM134,333163,328340,EM,Frequent,0.868008662,DH,4.25,3.2,1.96,14.3988,7,392,202.319,0,1,6,0,0,9,0,0,0,0,0,0,66,73,0,0,0,0,12,0,0,0,0,0,0,0
29/06/2012,N,EM139,333607,323429,EM,Rare,0.632335807,DH,4.14,6.9,2.45,15.2142,11,286,60.8431,4,4,8,0,0,4,0,8,0,0,0,0,13,1,0,0,0,0,0,1,0,0,0,1,1,0
30/06/2012,Y,EM142,333606,324764,EM,None,0.735454625,WH,4.4,2.8,0.66,9.57404,1,250,101.976,0,0,11,0,0,0,0,0,0,0,0,0,32,2,0,0,0,0,1,0,0,0,0,0,0,0
30/06/2012,Y,EM143,333608,325210,EM,None,0.775282619,WH,4.59,0.7,0.23,6.18982,1,282,115.974,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2012,Y,EM144,333614,325653,EM,None,0.725941529,WH,4.31,3.5,2.22,13.7594,1,309,117.35,0,1,29,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,19,1,0,0,0,0,0,0
03/08/2012,N,EM157,334055,324761,EM,None,0.865141324,WH,4.25,1.7,1.82,11.0059,11,202,226.042,0,0,53,0,0,1,0,0,4,0,0,0,5,61,0,0,0,0,1,0,0,2,0,0,0,0
24/06/2012,Y,EM160,334061,326107,EM,Frequent,0.59966401,DH,4.42,4.2,0.8,27.3886,1,309,112.109,0,0,54,0,0,8,0,0,0,0,0,0,34,0,0,0,1,0,3,1,0,0,0,0,2,0
24/06/2012,Y,EM162,334058,326551,EM,Rare,0.527126479,DH,4.08,3.9,1.88,28.2893,1,365,92.9289,0,0,64,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
02/08/2012,Y,EM175,334509,324759,EM,None,0.856133122,WH,4.39,4.1,1.1,9.64805,1,222,208.072,0,4,6,0,0,5,0,0,0,0,0,0,15,8,0,0,0,0,1,0,0,1,1,0,0,0
05/08/2012,Y,EM176,334502,325212,EM,Frequent,0.888535471,DH,4.18,2.9,1.37,19.6324,1,337,238.761,0,0,53,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0
05/08/2012,Y,EM177,334504,325656,EM,Frequent,0.796543812,DH,4.18,5.5,2.23,27.1614,1,380,285.255,0,0,37,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
05/08/2012,Y,EM178,334497,326101,EM,None,0.834539842,DH,4.46,3.4,2.3,26.9417,1,338,273.102,0,0,81,0,0,3,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,1,0,0
02/08/2012,N,EM190,334949,324313,EM,None,0.857212555,WH,4.41,2.6,2.25,9.40944,13,214,236.07,0,0,9,0,0,5,0,0,0,0,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0
18/08/2012,Y,EM193,334949,325210,EM,Frequent,0.903076488,DH,4.66,4.8,1.76,25.7823,1,480,233.842,0,0,46,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0
18/08/2012,Y,EM194,334948,325656,EM,Frequent,0.805610635,DH,4.59,3.2,0.45,14.723,1,466,291.194,0,0,7,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
04/07/2012,Y,EM208,335399,323867,EM,Rare,0.847164698,WH,4.82,0.8,0.12,6.92754,9,231,233.366,0,3,4,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0
15/07/2012,N,EM209,335396,324314,EM,None,0.884953753,WH,4.21,3.8,2.06,18.6757,14,310,240.781,0,0,78,0,0,2,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,3,0,0,0,0
15/07/2012,Y,EM210,335396,324314,EM,Rare,0.856424638,WH,4.43,1.8,0.86,10.3436,1,361,203.405,0,0,39,0,0,1,0,0,0,0,0,0,43,1,0,0,0,0,0,1,0,0,0,0,0,0
18/08/2012,N,EM212,335394,325656,EM,Occaisional,0.774000795,DH,4.48,1.4,0.22,4.60936,6,409,97.125,0,1,16,1,0,1,0,0,0,0,0,0,3,10,0,0,0,0,2,0,0,0,0,2,3,0
18/08/2012,N,EM213,335395,326102,EM,None,0.856776427,DH,4.04,4.2,1.95,9.07499,9,488,219.92,0,0,81,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20/08/2012,N,EM227,335850,323874,EM,None,0.846966179,WH,4.14,3.2,1.94,10.229,12,312,190.376,0,0,49,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,1,3,0,0,0,12,1,0
20/08/2012,N,EM229,335839,325214,EM,None,0.840142538,WH,4.25,1.1,1.08,7.81757,17,395,259.509,0,1,11,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,17,0,0
20/08/2012,N,EM245,336314,324735,EM,None,0.900554524,DH,4.47,3.7,2.08,24.9182,17,420,214.032,0,0,18,0,0,1,0,1,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,4,0
20/08/2012,N,EM246,336294,325205,EM,Frequent,0.86757909,DH,4.33,2.7,1.64,12.2463,6,524,237.225,0,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17/08/2012,Y,EM73,332270,325216,EM,Abundant,0.648822534,WH,4.23,3.5,2.11,13.6081,1,377,51.7098,0,0,46,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,3,0,0,0,0
17/08/2012,Y,EM74,332268,325654,EM,Abundant,0.866185588,WH,4.12,4.3,1.72,11.4773,1,417,217.999,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
07/08/2012,N,EM79,332269,327893,EM,None,0.745164693,WH,4.84,1.5,2.03,13.1201,12,320,125.395,0,3,0,16,0,0,0,0,0,0,0,0,33,382,0,0,0,0,0,0,0,0,0,0,0,0
29/06/2012,N,EM91,332716,323423,EM,None,0.560089445,DH,4.24,2.4,1.4,20.6354,8,554,32.5295,0,0,71,0,0,6,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
29/06/2012,Y,EM92,332718,323871,EM,Frequent,0.661799004,WH,4.32,2.7,1.75,12.9128,1,478,62.0378,0,0,35,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,3,0,0,0,0,0,1,0
17/08/2012,Y,EM95,332714,324828,EM,None,0.784966596,DH,4.32,2.6,2.25,5.38932,1,315,122.005,0,1,2,0,0,2,0,1,0,0,0,0,7,0,0,0,0,0,14,1,0,0,0,0,3,0
19/07/2012,Y,GR20,203712,353827,GR,None,0.790838187,WH,4.24,4.5,2.03,3.1996,1,195,116.565,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
19/07/2012,Y,GR21,203719,354124,GR,None,0.799187498,WH,4.25,4.9,2.5,3.23769,1,207,135,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
19/07/2012,Y,GR23,204002,353799,GR,None,0.767000264,WH,4.3,4.3,2.33,3.72995,1,184,32.4712,0,0,8,0,0,0,0,0,0,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0
19/07/2012,Y,GR24,203962,354378.5,GR,None,0.810117882,WH,4.21,6.4,2.3,1.35863,1,215,161.565,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/07/2012,Y,GR26,204318,353821,GR,None,0.801420985,WH,4.31,2.8,1.54,0.859372,1,184,90,0,0,34,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0
19/07/2012,Y,GR27,204390,354383,GR,None,0.682276266,WH,4.23,6.9,2.62,10.7306,1,211,36.4164,0,0,8,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
20/07/2012,Y,GR3,202291,354173,GR,Rare,0.809770918,Bog,4.2,4.2,2.22,0.90585,1,237,288.435,0,0,7,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0
